,miejscowosc,wojewodztwo,typ,dziedzina,lng,lat
127,Bydgoszcz,kujawsko-pomorskie,POZ,matematyka,18.0280647,53.13152119999999
128,Bystrzyca,lubelskie,MUZ,muzyka,22.3268117,51.7840088
129,Szczecin,zachodniopomorskie,POZ,historia,14.6674618,53.3773841
130,Wałbrzych,dolnośląskie,POZ,biologia,16.2744197,50.7708702
131,Białystok,podlaskie,POZ,matematyka,23.1572628,53.1295852
132,Gdynia,pomorskie,POZ,matematyka,18.4490251,54.5459594
133,Białowieża,podlaskie,PLA,plastyka,23.7729619,52.7093677
134,Radom,mazowieckie,POZ,teatr,21.1471333,51.40272359999999
135,Bydgoszcz,kujawsko-pomorskie,POZ,językoznawstwo,18.0280647,53.13152119999999
136,Warszawa,mazowieckie,POZ,chemia,21.0122287,52.2296756
137,Zawiercie,śląskie,POZ,matematyka,19.4166259,50.48774299999999
138,Rakoniewice,wielkopolskie,POZ,chemia,16.2752471,52.14250269999999
139,Nowy Sącz,małopolskie,PLA,plastyka,20.7153326,49.6174535
140,Warszawa,mazowieckie,MUZ,muzyka,21.0122287,52.2296756
141,Liplas,małopolskie,PLA,plastyka,20.2347881,49.9172689
142,Wola Skrzydlańska,małopolskie,MUZ,muzyka,20.1847513,49.7477492
143,Toruń,kujawsko-pomorskie,POZ,socjologia,18.5984437,53.0137902
144,Kraków,małopolskie,MUZ,muzyka,19.8735418,50.0906143
145,Bogucice,małopolskie,POZ,humanistyka,20.4871971,50.0476304
146,Lubliniec,śląskie,POZ,chemia,18.6846192,50.66873529999999
147,Lublin,lubelskie,POZ,historia,22.556178,51.26911920000001
148,Choszczno,zachodniopomorskie,POZ,matematyka,15.3882813,53.1957882
149,Czapury,wielkopolskie,POZ,fizyka,16.9336404,52.30413420000001
150,Radom,mazowieckie,POZ,teatr,21.1471333,51.40272359999999
151,Poznań,wielkopolskie,MUZ,muzyka,16.8387079,52.4080886
152,Darnawa,lubuskie,PLA,plastyka,15.4482454,52.1475219
153,Biała Piska,warmińsko-mazurskie,POZ,matematyka,22.0710731,53.6570972
154,Przecław,zachodniopomorskie,PLA,plastyka,14.4726109,53.37375309999999
155,Oleśnica,dolnośląskie,POZ,historia,17.3898504,51.2134346
156,Kraków,małopolskie,POZ,informatyka,19.8735418,50.0906143
157,Żary,lubuskie,MUZ,muzyka,15.1369992,51.6420121
158,Wrocanka,podkarpackie,POZ,filozofia,21.5513724,49.7015732
159,Warszawa,mazowieckie,MUZ,muzyka,21.0122287,52.2296756
160,Wrocanka,podkarpackie,POZ,matematyka,21.5513724,49.7015732
161,Kraków,małopolskie,MUZ,muzyka,19.8735418,50.0906143
162,Rumia,pomorskie,POZ,wielokierunkowe,18.3878224,54.5707832
163,Kraków,małopolskie,MUZ,muzyka,19.8735418,50.0906143
164,Gdańsk,pomorskie,POZ,chemia,18.5857143,54.3462257
165,Kraków,małopolskie,MUZ,muzyka,19.8735418,50.0906143
166,Lubin,dolnośląskie,POZ,matematyka,16.1938917,51.4042025
167,Łódź,łódzkie,MUZ,muzyka,19.4516525,51.8010292
168,Częstochowa,śląskie,POZ,ekonomia,19.1203094,50.8118195
169,Tczew,pomorskie,POZ,biologia,18.7587629,54.0742463
170,Zawiercie,śląskie,POZ,biologia,19.4166259,50.48774299999999
171,Borzęcin Duży,mazowieckie,MUZ,muzyka,20.7340892,52.2524252
172,Warszawa,mazowieckie,PLA,plastyka,21.0122287,52.2296756
173,Kraków,małopolskie,MUZ,muzyka,19.8735418,50.0906143
174,Lubojna,śląskie,POZ,informatyka,19.1583682,50.9123077
175,Ciechanów,mazowieckie,POZ,humanistyka,20.6316738,52.87895959999999
176,Warszawa,mazowieckie,POZ,chemia,21.0122287,52.2296756
